year,week,track_id,popularity
2023,12,1fzAuUVbzlhZ1lJAx9PtY6,1.0
2023,12,1h04XMpzGzmAudoI6VHBgA,1.0
2023,12,1huvTbEYtgltjQRXzrNKGi,1.0
2023,12,1j8z4TTjJ1YOdoFEDwJTQa,1.0
2023,12,1kPBT8S2wJFNAyBMnGVZgL,1.0
2023,12,1lASDtTqKAfsnD6hixGKtz,1.0
2023,12,1nrsFfACPG4Hnw5AuOpCND,1.0
2023,12,1oacrRLAurXf6ylXFhF2YT,1.0
2023,12,1qfDfZAvrkSAFrAR2FTQDv,1.0
2023,12,1rxoyGj1QuPoVi8fOft1Kt,1.0
2023,12,1sLQ6BFucWwgT8yaAFSpAx,1.0
2023,12,1soxUgYIZb1qx1c7o1Lc7z,1.0
2023,12,1uDXGhm8Wgwpmzgm8k1F7r,1.0
2023,12,1uSRXFGgEkukRZIa9WsX52,1.0
2023,12,1v1oIWf2Xgh54kIWuKsDf6,1.0
2023,12,1vv2owN12FAwGDwHcsnphg,1.0
2023,12,1w6kG4Rc29m5EherbvpkF5,1.0
2023,12,1ws5lPH4V6JbV83PFcBhHj,1.0
2023,12,1yYE8EyuIV0rrvQ1bA2Fyf,1.0
2023,12,21QPEewQy6P4l6mY0OE1fL,1.0
2023,12,21jGcNKet2qwijlDFuPiPb,1.0
2023,12,22OqansuvEMQu9W0EfiGTI,1.0
2023,12,22jnEneSABg4vRCR1vow7F,1.0
2023,12,23T0OX7QOiIUFShSzbJ5Uo,1.0
2023,12,24BNgrtp6Fag4M5BQPEgsV,1.0
2023,12,24LO2UMNHWNoPZnhdAw4TO,1.0
2023,12,24NuEDgyRIljwSyY0lsr7b,1.0
2023,12,25cUhiAod71TIQSNicOaW3,1.0
2023,12,2620eph8P9p5FQ1oQWcWuk,1.0
2023,12,26IB6QbCisBOf6AoQT37XW,1.0
2023,12,27ZWceiCHYP1SVPDn05OO9,1.0
2023,12,29SyMC0plk6qw8NMF7lfRL,1.0
2023,12,2A69wys3S9uiPSmn6UZWJn,1.0
2023,12,2AMysGXOe0zzZJMtH3Nizb,1.0
2023,12,2CHmgtK8OCL28WtIK96u4N,1.0
2023,12,2CoMYp2uIKsT09nreEZnZn,1.0
2023,12,2EdAzvb3Qc6E8h8glHD9jF,1.0
2023,12,2FTeQQ5Rg9tBpgpTF5mnhE,1.0
2023,12,2FeYK41Grs7KdR9Nqoy1MK,1.0
2023,12,2HVCLZ6dMDelXhloO5sAjV,1.0
2023,12,2L1zGWSV5udDZlW668nRtA,1.0
2023,12,2LbkpJUH052AvFcNIgjHTO,1.0
2023,12,2LsKvF1f5PVm18UZgQrwml,1.0
2023,12,2NLAraJgphfdy2sWQ4LWm4,1.0
2023,12,2Nk3gXgekore0lfB7PCnub,1.0
2023,12,2OBaVeRFXblWxoZHC4sryf,1.0
2023,12,2OXo0vKbu3ilgz4S5EOn60,1.0
2023,12,2PaktlQ4uhWfR0Cuk0qRtN,1.0
2023,12,2QAHN4C4M8D8E8eiQvQW6a,1.0
2023,12,2QrQCMel6v2JiLxqrg4p2O,1.0
2023,12,2Qw4nXX0eCRLRIX8BT19p2,1.0
2023,12,2QwObYJWyJTiozvs0RI7CF,1.0
2023,12,2QyJTZeqxmVfbesnoN3r7k,1.0
2023,12,2RB3zzgxWc2RRBaJOkSEka,1.0
2023,12,2SgQsZIWs0UC01ibNOBu7q,1.0
2023,12,2TAQ9YGehOKWDqDak5DuXc,1.0
2023,12,2TL9UACmry1qTiurBc2PjV,1.0
2023,12,2VDg6h3Qr3F8UuFVInQxE6,1.0
2023,12,2Viw81MZJPsOjODAz4A5nW,1.0
2023,12,2WO1QXoR1o0R1rYKAxF7Ya,1.0
2023,12,2WViLEKp7hWDJQbowxqzba,1.0
2023,12,2WVz9Mtp3E8HCblGiu3nCv,1.0
2023,12,2WgyOP8Z1D6GQYumCwH4Dk,1.0
2023,12,2WkHXAVVMgRnBmQ3HYAVla,1.0
2023,12,2XvrMHbSO077Ajg7QTTNdY,1.0
2023,12,2Zw3HNjaNV42LnQ2uY5JQs,1.0
2023,12,2b4GVETj0BprQPrmSqmZwf,1.0
2023,12,2cF1W1G0sERJu0Y49tGjnx,1.0
2023,12,2eXlwgFPe6HgFaPJO8xQHK,1.0
2023,12,2gNfxysfBRfl9Lvi9T3v6R,1.0
2023,12,2id8E4WvczfKHB4LHI7Np3,1.0
2023,12,2kMjk14RmYyYhhSbipoa9U,1.0
2023,12,2ljxkzG9jKVFTslAbG2uqx,1.0
2023,12,2nMLXtXdcp2BkwPoZzse3C,1.0
2023,12,2nvvKQCQdiTlgTwRQCqnkx,1.0
2023,12,2oy5kjcc7itM64xk00Gz2c,1.0
2023,12,2p8IUWQDrpjuFltbdgLOag,1.0
2023,12,2pwnEzgIzYL4AOw4ousjkB,1.0
2023,12,2qKioq4HNraWk0DXH4Rdut,1.0
2023,12,2rrCZTcjUTPFfvHx8MVQwG,1.0
2023,12,2x8evxqUlF0eRabbW2JBJd,1.0
2023,12,2y8rZoB5iJBt233kASCihn,1.0
2023,12,319zpJMCzpz50Uz0PsjlJN,1.0
2023,12,32SmDHzbqYRAhX9Jq4gDnT,1.0
2023,12,32dgxT0S7Tv5p83DgT6iCT,1.0
2023,12,32fEW4jygJjjnZh2iBa5IR,1.0
2023,12,343iSx7QQ41UeroboMrhmh,1.0
2023,12,34ClgyHf8Awds1ew9vMX26,1.0
2023,12,34hM4PLlhyBysgL50IWdHf,1.0
2023,12,3528IXKpbb7OMjdjWYlbfD,1.0
2023,12,36CKza28wMxYdjdzji7ine,1.0
2023,12,371Tb0eNfpjpSqggjcLv8c,1.0
2023,12,371Up3WP7OqJNFPf0BiyUe,1.0
2023,12,38iU2jg98IZZEIJPrP7aWD,1.0
