Removed Attribute,Mean Variance
None,0.011086775740732583
explicit,0.017877785448255863
key,0.024947679040287756
acousticness,0.027180322665069444
energy,0.030437649274463272
valence,0.033694095208262914
release_date,0.035882119370513874
speechiness,0.03666206294648116
liveness,0.038504847005265526
loudness,0.039150961558759474
danceability,0.04352528058903148
tempo,0.046057781249811684


explicit 0.017877785448255863
release_date 0.011623246578551629
danceability 0.01151143909996103
energy 0.009831217363350075
key 0.017696123091573982
loudness 0.010796669540317619
speechiness 0.01079152183977858
acousticness 0.012060707996640958
instrumentalness 0.009789158503993315
liveness 0.012302040271026745
valence 0.01311643119075616
tempo 0.010018266876716685
release_date 0.019525453944607595
danceability 0.018836614989102177
energy 0.018840767538009527
key 0.024947679040287756
loudness 0.018372511760372325
speechiness 0.018076387760027353
acousticness 0.019953244480039902
instrumentalness 0.0180525166444351
liveness 0.0186343533542825
valence 0.02045802589630502
tempo 0.018610432675709814
release_date 0.025846493217713064
danceability 0.024791289022542587
energy 0.025986123902777682
loudness 0.02301104798786656
speechiness 0.02511057983140839
acousticness 0.027180322665069444
instrumentalness 0.025201858460805086
liveness 0.024972783037717283
valence 0.026302119608679567
tempo 0.024982774882895152
release_date 0.028811805209977854
danceability 0.027545809966659233
energy 0.030437649274463272
loudness 0.025818140850863352
speechiness 0.027761694491102645
instrumentalness 0.02675206030729597
liveness 0.02812581654899845
valence 0.027971330453651074
tempo 0.0276725864748011
release_date 0.031349108885373185
danceability 0.030515679767372152
loudness 0.02969306615636601
speechiness 0.03080791552544794
instrumentalness 0.03086251245015752
liveness 0.03108251883370186
valence 0.033694095208262914
tempo 0.029154149179240304
release_date 0.035882119370513874
danceability 0.03442301725949912
loudness 0.033061761338661316
speechiness 0.032809879838634474
instrumentalness 0.03305283907815853
liveness 0.03364538594889343
tempo 0.03327754118519599
danceability 0.03598032332623049
loudness 0.036465260496894435
speechiness 0.03666206294648116
instrumentalness 0.035332664729609796
liveness 0.035092224892743606
tempo 0.036294414563437544
danceability 0.03721704683989605
loudness 0.0369270967736137
instrumentalness 0.03692548630356388
liveness 0.038504847005265526
tempo 0.036013279717769756
danceability 0.03763366359182374
loudness 0.039150961558759474
instrumentalness 0.03777940926181413
tempo 0.03684276133588405
danceability 0.04352528058903148
instrumentalness 0.04082038371776618
tempo 0.0415209333274363
instrumentalness 0.04468772104703077
tempo 0.046057781249811684
